区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
A,K-12405B,1.0,1,MV-K-12405B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12405HB,1.0,1,MV-K-12405HB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12405JA,1.0,1,MV-K-12405JA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12406A2,1.0,1,MV-K-12406A2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12406B2,1.0,1,MV-K-12406B2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12407F,1.0,1,MV-K-12407F,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-12414DB,1.0,1,K-12414D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-13305EA,1.0,1,MC-K-13305EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-13307E,1.0,1,MC-K-13307E,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-13314EA,1.0,1,MC-K-13314EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-13315EB,1.0,1,MC-K-13315EB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-15607D,1.0,1,PA-K-15607D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-18304,1.0,1,MV-K-18304,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-18405B,1.0,1,MV-K-18405B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-18406B,1.0,1,MV-K-18406B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-18407B,1.0,1,MV-K-18407B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-18407C,1.0,1,MV-K-18407C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-18408,1.0,1,MU-K-18408,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
S,K-18802E,1.0,1,PL-K-18802E,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,K-19705,1.0,1,PL-K-19705,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,K-2001G-26,1.0,1,PL-K-2001G-26,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-21209DA,1.0,1,K-21209EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,K-24801BC,1.0,1,PL-K-24801BC,1.0,1.0,L-K-24801BC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-25001UA,1.0,1,FSP-21-001AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-25046EA,1.0,1,SS400-14X30X52,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-25046FA,1.0,1,SS400-14X14X155,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,K-25047AA,1.0,1,PL-K-25047AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-25058AA,1.0,1,SS400-44X92X6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-25059AA,1.0,2,SS400-100X100X6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,K-25906BB,1.0,1,PL-K-25906BB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,K-30404VA34,1.0,1,SS400-14X17X68.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30604CA,1.0,1,MC-K-30604CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30605AA,1.0,1,MC-K-30605AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30605AB,1.0,1,MC-K-30605AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30605CA,1.0,1,MC-K-30605CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30605CB,1.0,1,MC-K-30605CB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606AB,1.0,1,MC-K-30606AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606AC,1.0,1,MC-K-30606AC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606BA,1.0,1,MV-K-30606BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606BB,1.0,1,MV-K-30606BB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606BC,1.0,1,MV-K-30606BC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606CA,1.0,1,MC-K-30606CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606CB,1.0,1,MC-K-30606CB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606CC,1.0,1,MC-K-30606CC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606DC,1.0,1,MC-K-30606DC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606EA,1.0,1,MV-K-30606EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30606EB,1.0,1,MV-K-30606EB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,K-30607BA,1.0,1,MV-K-30607BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-5302B,1.0,1,MC-K-5302B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-5305,1.0,1,MC-K-5305,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,K-6509DA21,1.0,1,S50C-90X40X27,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,KD63-00407AA,1.0,1,PL-KD63-00407AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,KD63-00407AB,1.0,1,PL-KD63-00407AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00102AA,1.0,1,MV-KD64-00102AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00206AA,1.0,1,MV-KD64-00206AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00207AC,1.0,1,MV-KD64-00207AC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00208AA,1.0,1,MV-KD64-00208AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00208AB,1.0,1,MV-KD64-00208AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00304BA,1.0,1,SKD38X38X110,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00504AB,1.0,1,MV-KD64-00504AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KD64-00733AB,1.0,1,MV-KD64-00733AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KD65-00901AA,1.0,1,HT-KD65-00901AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,KF12-00805AA,1.0,1,FPS-17-001AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002AA,1.0,1,AO-KF22-002AA,1.0,1.0,MC-KF22-002AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002BA,1.0,1,AO-KF22-002BA,1.0,1.0,MC-KF22-002BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002CA,1.0,1,AO-KF22-002CA,1.0,1.0,MC-KF22-002CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002HA,1.0,1,AO-KF22-002HA,1.0,1.0,MC-KF22-002CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002JA,1.0,1,AO-KF22-002JA,1.0,1.0,MC-KF22-002CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002KA,1.0,1,AO-KF22-002KA,1.0,1.0,MC-KF22-002KA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002LA,1.0,1,AO-KF22-002LA,1.0,1.0,MC-KF22-002LA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002MA,1.0,1,AO-KF22-002MA,1.0,1.0,MC-KF22-002MA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002NA,1.0,1,AO-KF22-002NA,1.0,1.0,MC-KF22-002NA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KF22-002PA,1.0,1,AO-KF22-002PA,1.0,1.0,MC-KF22-002PA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,KF46-00301AA,1.0,1,FPP-16-001AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,KF46-00301AB,1.0,1,FPP-16-001AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00425DB,1.0,1,SKD103254-ACTUATOR,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504AA,1.0,1,MC-KS64-00504AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504AB,1.0,1,MC-KS64-00504AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504BA,1.0,1,MV-KS64-00504BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504CA,1.0,1,MC-KS64-00504CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504CB,1.0,1,MC-KS64-00504CB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504DA,1.0,1,MC-KS64-00504DA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504EA,1.0,1,MC-KS64-00504EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504FA,1.0,1,MV-KS64-00504FA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00504GA,1.0,1,MV-KS64-00504GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00505BA,1.0,1,MV-KS64-00505BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00505EA,1.0,1,MC-KS64-00505EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00505FA,1.0,1,MV-KS64-00505FA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00505GA,1.0,1,MV-KS64-00505GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-00515EA,1.0,1,PL-KS64-00515EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,KS64-02404EA,1.0,1,MC-KS64-02404-M101,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00301CB30,1.0,1,S45C-32X120X200,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
E,KS91-00301DA32,1.0,1,SKD11-20X40X30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00302BA30,1.0,1,SKD11-20X30X40,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00302BA32,1.0,1,S50C-120X200X22,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00302BB30,1.0,1,SKD11-20X30X40,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00302BB32,1.0,1,S50C-120X200X22,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00302BC30,1.0,1,SKD11-20X30X40,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
@,KS91-00302BC32,1.0,1,S50C-120X200X22,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
E,KS91-00829CA,1.0,4,S50C-32X150X300,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KUT-206MA,1.0,1,AO-KUT-206MA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KUT-206NA,1.0,1,AO-KUT-206NA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KUT-206PA,1.0,1,AO-KUT-206PA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,KUT-206PB,1.0,1,AO-KUT-206PB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,KUT-302C,1.0,1,PA-KUT-302C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,LS61-03601AA,1.0,1,PL-LS61-03601AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,LU-6601,1.0,1,PA-LU-6601,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,SPL-1912FA,1.0,1,E-15001LC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,SPL-2255AA,1.0,1,PL-SPL-2255AA,1.0,1.0,K-30611AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,SPL-2255BA,1.0,1,PL-SPL-2255BA,1.0,1.0,K-30616BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,SPL-2277AA,1.0,1,KD64-01704AC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
